Market Cap,Change,Market Cap Numeric,PE ratio,Percent Change,Price
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.35B,0.21,73350000000,0.4,1.026392962,20.67
72.435B,-2.08,72435000000,35.28,-3.240885011,62.1
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
89.045B,-0.62,89045000000,6.28,-1.347240330,45.4
110.348B,-0.21,110348000000,15.61,-0.141901480,147.78
111.888B,-0.26,111888000000,9.89,-0.426999507,60.63
98.904B,-0.27,98904000000,101.23,-0.324207493,83.01
98.43B,8.61,98430000000,20.36,1.341079717,650.63
94.477B,0.02,94477000000,2.89,0.078678206,25.44
88.99B,1.35,88990000000,13.34,2.828409805,49.08
89.243B,0.02,89243000000,28.19,0.011088318,180.39
68.303B,-0.01,68303000000,0.48,-0.040032026,24.97
82.65B,-1.83,82650000000,15.85,-0.908684642,199.56
66.271B,-0.03,66271000000,3.16,-0.120578778,24.85
63.353B,0.1,63353000000,0.48,0.410004100,24.49
80.086B,-0.03,80086000000,19.59,-0.130718954,22.92
64.869B,0,64869000000,3.19,0,25.08
79.215B,0.1,79215000000,95.04,0.074660296,134.04
63.064B,-0.08,63064000000,2.95,-0.343642612,23.2
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.35B,0.21,73350000000,0.4,1.026392962,20.67
72.44B,-2.12,72440000000,35.28,-3.303209723,62.06
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.501B,0.28,68501000000,26.75,0.083527236,335.5
110.386B,-0.16,110386000000,15.61,-0.108115413,147.83
111.965B,-0.22,111965000000,9.9,-0.361307275,60.67
99.035B,-0.16,99035000000,101.37,-0.192122959,83.12
98.41B,8.48,98410000000,20.35,1.320831127,650.5
94.477B,0.02,94477000000,2.89,0.078678206,25.44
89.099B,1.41,89099000000,13.35,2.954116908,49.14
89.263B,0.06,89263000000,28.19,0.033264955,180.43
68.303B,-0.01,68303000000,0.48,-0.040032026,24.97
82.674B,-1.77,82674000000,15.86,-0.878891703,199.62
66.271B,-0.03,66271000000,3.16,-0.120578778,24.85
63.353B,0.1,63353000000,0.48,0.410004100,24.49
80.103B,-0.02,80103000000,19.6,-0.087145969,22.93
64.869B,0,64869000000,3.19,0,25.08
79.215B,0.07,79215000000,95.04,0.052262207,134.01
63.064B,-0.08,63064000000,2.95,-0.343642612,23.2
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.35B,0.21,73350000000,0.4,1.026392962,20.67
72.475B,-2.06,72475000000,35.3,-3.209722655,62.12
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.525B,0.28,68525000000,26.75,0.083527236,335.5
67.066B,1.07,67066000000,23.67,0.583169828,184.55
111.965B,-0.22,111965000000,9.9,-0.361307275,60.67
99.035B,-0.16,99035000000,101.37,-0.192122959,83.12
98.41B,8.48,98410000000,20.35,1.320831127,650.5
94.477B,0.02,94477000000,2.89,0.078678206,25.44
89.099B,1.42,89099000000,13.35,2.975068091,49.15
89.263B,0.06,89263000000,28.19,0.033264955,180.43
68.303B,-0.01,68303000000,0.48,-0.040032026,24.97
82.679B,-1.72,82679000000,15.86,-0.854064253,199.67
66.271B,-0.03,66271000000,3.16,-0.120578778,24.85
63.353B,0.1,63353000000,0.48,0.410004100,24.49
80.12B,-0.02,80120000000,19.6,-0.087145969,22.93
64.869B,0,64869000000,3.19,0,25.08
79.215B,0.18,79215000000,95.04,0.134388532,134.12
63.064B,-0.08,63064000000,2.95,-0.343642612,23.2
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.35B,0.21,73350000000,0.4,1.026392962,20.67
72.475B,-2.05,72475000000,35.3,-3.194141477,62.13
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.525B,0.28,68525000000,26.75,0.083527236,335.5
67.047B,1.15,67047000000,23.66,0.626771310,184.63
60.656B,0.18,60656000000,41.83,0.166343222,108.39
99.071B,-0.13,99071000000,101.4,-0.156099904,83.15
98.442B,8.69,98442000000,20.36,1.353540388,650.71
94.477B,0.02,94477000000,2.89,0.078678206,25.44
89.135B,1.43,89135000000,13.36,2.996019275,49.16
89.263B,0.06,89263000000,28.19,0.033264955,180.43
68.303B,-0.01,68303000000,0.48,-0.040032026,24.97
82.737B,-1.62,82737000000,15.87,-0.804409355,199.77
66.271B,-0.03,66271000000,3.16,-0.120578778,24.85
63.353B,0.1,63353000000,0.48,0.410004100,24.49
80.12B,-0.02,80120000000,19.6,-0.087145969,22.93
64.869B,0,64869000000,3.19,0,25.08
79.239B,0.11,79239000000,95.07,0.082126325,134.05
63.064B,-0.08,63064000000,2.95,-0.343642612,23.2
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.35B,0.21,73350000000,0.4,1.026392962,20.67
72.487B,-2.06,72487000000,35.3,-3.209222620,62.13
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.525B,0.28,68525000000,26.75,0.083527236,335.5
67.066B,1.12,67066000000,23.67,0.610420754,184.6
60.684B,0.18,60684000000,41.85,0.166343222,108.39
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
98.394B,8.37,98394000000,20.35,1.303697704,650.39
94.477B,0.02,94477000000,2.89,0.078678206,25.44
89.09B,1.41,89090000000,13.35,2.954116908,49.14
89.267B,0.07,89267000000,28.19,0.038809115,180.44
68.303B,-0.01,68303000000,0.48,-0.040032026,24.97
82.737B,-1.76,82737000000,15.87,-0.873926213,199.63
66.271B,-0.03,66271000000,3.16,-0.120578778,24.85
63.353B,0.1,63353000000,0.48,0.410004100,24.49
80.12B,-0.02,80120000000,19.6,-0.087145969,22.93
64.869B,0,64869000000,3.19,0,25.08
79.239B,0.05,79239000000,95.07,0.037330148,133.99
63.064B,-0.08,63064000000,2.95,-0.343642612,23.2
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.35B,0.21,73350000000,0.4,1.026392962,20.67
72.499B,-2.06,72499000000,35.31,-3.209722655,62.12
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.525B,0.04,68525000000,26.75,0.011932462,335.26
67.066B,1.01,67066000000,23.67,0.550468716,184.49
60.681B,0.14,60681000000,41.85,0.129378061,108.35
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
59.544B,-0.03,59544000000,9.88,-0.156331423,19.16
94.477B,0.02,94477000000,2.89,0.078678206,25.44
89.054B,1.39,89054000000,13.35,2.912214540,49.12
89.238B,0.01,89238000000,28.18,0.005544159,180.38
68.303B,-0.01,68303000000,0.48,-0.040032026,24.97
82.679B,-1.76,82679000000,15.86,-0.873926213,199.63
66.271B,-0.03,66271000000,3.16,-0.120578778,24.85
63.353B,0.1,63353000000,0.48,0.410004100,24.49
80.103B,-0.02,80103000000,19.6,-0.087145969,22.93
64.869B,0,64869000000,3.19,0,25.08
79.204B,0.05,79204000000,95.03,0.037330148,133.99
63.064B,-0.08,63064000000,2.95,-0.343642612,23.2
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.35B,0.21,73350000000,0.4,1.026392962,20.67
72.475B,-2.06,72475000000,35.3,-3.209722655,62.12
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.476B,0.04,68476000000,26.74,0.011932462,335.26
67.026B,1.01,67026000000,23.65,0.550468716,184.49
60.659B,0.14,60659000000,41.83,0.129378061,108.35
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
59.544B,-0.03,59544000000,9.88,-0.156331423,19.16
56.997B,-0.01,56997000000,41.47,-0.003236770,308.94
89.099B,1.42,89099000000,13.35,2.975068091,49.15
89.234B,0,89234000000,28.18,0,180.37
68.303B,-0.01,68303000000,0.48,-0.040032026,24.97
82.679B,-1.76,82679000000,15.86,-0.873926213,199.63
66.271B,-0.03,66271000000,3.16,-0.120578778,24.85
63.353B,0.04,63353000000,0.48,0.164001640,24.43
80.086B,-0.03,80086000000,19.59,-0.130718954,22.92
64.869B,0,64869000000,3.19,0,25.08
79.21B,0.06,79210000000,95.04,0.044796177,134
63.064B,-0.08,63064000000,2.95,-0.343642612,23.2
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.35B,0.21,73350000000,0.4,1.026392962,20.67
72.487B,-2.07,72487000000,35.3,-3.225303833,62.11
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.476B,0.04,68476000000,26.74,0.011932462,335.26
67.019B,0.99,67019000000,23.65,0.539568345,184.47
60.659B,0.14,60659000000,41.83,0.129378061,108.35
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
59.544B,-0.04,59544000000,9.88,-0.208441897,19.15
56.99B,-0.01,56990000000,41.47,-0.003236770,308.94
56.642B,-0.01,56642000000,9.13,-0.118906064,8.4
89.234B,0,89234000000,28.18,0,180.37
68.303B,-0.01,68303000000,0.48,-0.040032026,24.97
82.679B,-1.76,82679000000,15.86,-0.873926213,199.63
66.271B,-0.03,66271000000,3.16,-0.120578778,24.85
63.197B,0.04,63197000000,0.47,0.164001640,24.43
80.086B,-0.03,80086000000,19.59,-0.130718954,22.92
64.869B,0,64869000000,3.19,0,25.08
79.198B,0.04,79198000000,95.02,0.029864118,133.98
63.064B,-0.08,63064000000,2.95,-0.343642612,23.2
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.35B,0.21,73350000000,0.4,1.026392962,20.67
72.47B,-2.1,72470000000,35.29,-3.272047367,62.08
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.476B,0.04,68476000000,26.74,0.011932462,335.26
67.019B,0.99,67019000000,23.65,0.539568345,184.47
60.659B,0.14,60659000000,41.83,0.129378061,108.35
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
59.516B,-0.04,59516000000,9.87,-0.208441897,19.15
56.99B,-0.01,56990000000,41.47,-0.003236770,308.94
56.61B,-0.01,56610000000,9.13,-0.118906064,8.4
61.785B,-0.08,61785000000,5.86,-0.091418124,87.43
68.314B,-0.01,68314000000,0.48,-0.040032026,24.97
82.67B,-1.78,82670000000,15.85,-0.883857193,199.61
66.271B,-0.03,66271000000,3.16,-0.120578778,24.85
63.197B,0.04,63197000000,0.47,0.164001640,24.43
80.086B,-0.03,80086000000,19.59,-0.130718954,22.92
64.869B,0,64869000000,3.19,0,25.08
79.192B,0.07,79192000000,95.01,0.052262207,134.01
63.064B,-0.08,63064000000,2.95,-0.343642612,23.2
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.034B,-0.02,78034000000,26.73,-0.311041991,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.315B,0.2,73315000000,0.4,0.977517107,20.66
72.429B,-2.1,72429000000,35.27,-3.272047367,62.08
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.476B,0.04,68476000000,26.74,0.011932462,335.26
67.041B,1.05,67041000000,23.66,0.572269457,184.53
60.659B,0.14,60659000000,41.83,0.129378061,108.35
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
59.516B,-0.04,59516000000,9.87,-0.208441897,19.15
56.99B,-0.01,56990000000,41.47,-0.003236665,308.95
56.61B,-0.01,56610000000,9.13,-0.118906064,8.4
61.785B,-0.08,61785000000,5.86,-0.091418124,87.43
54.731B,-0.26,54731000000,,-0.534869368,48.35
82.67B,-1.73,82670000000,15.85,-0.859029743,199.66
66.298B,-0.02,66298000000,3.16,-0.080385852,24.86
63.197B,0.04,63197000000,0.47,0.164001640,24.43
80.086B,-0.03,80086000000,19.59,-0.130718954,22.92
64.869B,0,64869000000,3.19,0,25.08
79.216B,0.07,79216000000,95.04,0.052262207,134.01
63.166B,-0.04,63166000000,2.96,-0.171821306,23.24
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.034B,-0.02,78034000000,26.73,-0.311041991,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.315B,0.2,73315000000,0.4,0.977517107,20.66
72.417B,-2.07,72417000000,35.27,-3.225303833,62.11
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.476B,0.04,68476000000,26.74,0.011932462,335.26
67.052B,1.13,67052000000,23.66,0.615870940,184.61
60.659B,0.15,60659000000,41.83,0.138619351,108.36
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
59.524B,-0.04,59524000000,9.87,-0.208441897,19.15
56.99B,0.09,56990000000,41.47,0.029130927,309.04
56.608B,-0.01,56608000000,9.12,-0.118906064,8.4
61.785B,-0.08,61785000000,5.86,-0.091418124,87.43
54.709B,-0.24,54709000000,,-0.493725571,48.37
53.016B,-0.04,53016000000,9.02,-0.733944954,5.41
66.298B,-0.02,66298000000,3.16,-0.080385852,24.86
63.197B,0.04,63197000000,0.47,0.164001640,24.43
80.086B,-0.03,80086000000,19.59,-0.130718954,22.92
64.869B,0,64869000000,3.19,0,25.08
79.233B,0.15,79233000000,95.06,0.111990443,134.09
63.166B,-0.04,63166000000,2.96,-0.171821306,23.24
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.315B,0.2,73315000000,0.4,0.977517107,20.66
72.499B,-2.06,72499000000,35.31,-3.209722655,62.12
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.476B,0.04,68476000000,26.74,0.011932462,335.26
67.073B,1.1,67073000000,23.67,0.599553060,184.57
60.667B,0.15,60667000000,41.84,0.138619351,108.36
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
59.524B,-0.04,59524000000,9.87,-0.208441897,19.15
57.008B,0.09,57008000000,41.48,0.029130927,309.04
56.642B,-0.01,56642000000,9.13,-0.118906064,8.4
61.785B,-0.08,61785000000,5.86,-0.091418124,87.43
54.732B,-0.24,54732000000,,-0.493725571,48.37
53.016B,-0.04,53016000000,9.02,-0.733944954,5.41
50.392B,0.17,50392000000,9,0.686591276,24.93
63.197B,0.04,63197000000,0.47,0.164001640,24.43
80.086B,-0.03,80086000000,19.59,-0.130718954,22.92
64.869B,0,64869000000,3.19,0,25.08
79.251B,0.13,79251000000,95.09,0.097058384,134.07
63.166B,-0.04,63166000000,2.96,-0.171821306,23.24
63.647B,-0.01,63647000000,3.19,-0.039840637,25.09
78.042B,-0.01,78042000000,26.73,-0.155763240,6.41
74.004B,0.2,74004000000,0.39,1.006036217,20.08
73.315B,0.2,73315000000,0.4,0.977517107,20.66
72.464B,-2.06,72464000000,35.29,-3.209722655,62.12
72.085B,-0.09,72085000000,3.78,-0.511363636,17.51
71.974B,0.22,71974000000,2.6,1.088031652,20.44
69.93B,0.07,69930000000,4.81,0.315031503,22.29
68.476B,0.04,68476000000,26.74,0.011932462,335.26
67.057B,1.1,67057000000,23.66,0.599553060,184.57
60.667B,0.15,60667000000,41.84,0.138619351,108.36
58.486B,-0.32,58486000000,9.08,-0.648561005,49.02
59.524B,-0.04,59524000000,9.87,-0.208441897,19.15
57.008B,0.09,57008000000,41.48,0.029130927,309.04
56.642B,-0.01,56642000000,9.13,-0.118906064,8.4
61.785B,-0.08,61785000000,5.86,-0.091418124,87.43
54.732B,-0.26,54732000000,,-0.534869368,48.35
53.016B,-0.04,53016000000,9.02,-0.733944954,5.41
50.392B,0.17,50392000000,9,0.686591276,24.93
49.597B,-0.87,49597000000,25.49,-2.788461538,30.33
44.115B,0.02,44115000000,2.15,0.081400081,24.59
44.115B,0.02,44115000000,2.15,0.081400081,24.59
44.115B,0.02,44115000000,2.15,0.081400081,24.59
44.115B,0.02,44115000000,2.15,0.081400081,24.59
44.115B,0.02,44115000000,2.15,0.081400081,24.59
68.496B,0.14,68496000000,26.74,0.041763618,335.36
68.496B,0.14,68496000000,26.74,0.041763618,335.36
68.496B,0.14,68496000000,26.74,0.041763618,335.36
68.496B,0.14,68496000000,26.74,0.041763618,335.36
68.496B,0.14,68496000000,26.74,0.041763618,335.36
68.496B,0.14,68496000000,26.74,0.041763618,335.36
68.496B,0.14,68496000000,26.74,0.041763618,335.36
68.498B,0.14,68498000000,26.74,0.041763618,335.36
68.476B,0.15,68476000000,26.74,0.044746733,335.37
68.498B,0.15,68498000000,26.74,0.044746733,335.37
46.489B,0.18,46489000000,40.11,0.083022001,216.99
46.489B,0.18,46489000000,40.11,0.083022001,216.99
46.489B,0.18,46489000000,40.11,0.083022001,216.99
46.502B,0.18,46502000000,40.12,0.083022001,216.99
46.502B,0.24,46502000000,40.12,0.110696001,217.05
46.528B,0.24,46528000000,40.14,0.110696001,217.05
46.528B,0.36,46528000000,40.14,0.166044002,217.17
46.528B,0.36,46528000000,40.14,0.166044002,217.17
46.528B,0.36,46528000000,40.14,0.166044002,217.17
42.985B,0.04,42985000000,5.97,0.561797753,7.16
42.98B,0.04,42980000000,5.97,0.561797753,7.16
43.009B,0.04,43009000000,5.97,0.561797753,7.16
43.009B,0.05,43009000000,5.97,0.703234880,7.16
45.383B,0.08,45383000000,16.47,1.328903654,6.1
45.42B,0.08,45420000000,16.49,1.328903654,6.1
45.42B,0.08,45420000000,16.49,1.328903654,6.1
45.42B,0.08,45420000000,16.49,1.328903654,6.1
45.42B,0.08,45420000000,16.49,1.328903654,6.1
45.42B,0.08,45420000000,16.49,1.328903654,6.1
45.42B,0.08,45420000000,16.49,1.328903654,6.1
45.42B,0.08,45420000000,16.49,1.328903654,6.1
61.771B,-0.1,61771000000,5.86,-0.114272655,87.41
61.771B,-0.1,61771000000,5.86,-0.114272655,87.41
61.771B,-0.1,61771000000,5.86,-0.114272655,87.41
61.771B,-0.1,61771000000,5.86,-0.114272655,87.41
61.771B,-0.1,61771000000,5.86,-0.114272655,87.41
61.771B,-0.1,61771000000,5.86,-0.114272655,87.41
61.785B,-0.1,61785000000,5.86,-0.114272655,87.41
61.771B,-0.09,61771000000,5.86,-0.102845389,87.42
61.785B,-0.08,61785000000,5.86,-0.091418124,87.43
61.785B,-0.08,61785000000,5.86,-0.091418124,87.43
49.475B,-0.95,49475000000,25.43,-3.044871795,30.25
49.491B,-0.93,49491000000,25.44,-2.980769231,30.27
49.499B,-0.93,49499000000,25.44,-2.980769231,30.27
49.524B,-0.93,49524000000,25.45,-2.980769231,30.27
49.532B,-0.91,49532000000,25.46,-2.915732137,30.3
49.54B,-0.9,49540000000,25.46,-2.884615385,30.3
49.54B,-0.9,49540000000,25.46,-2.884615385,30.3
49.565B,-0.9,49565000000,25.47,-2.884615385,30.3
49.573B,-0.89,49573000000,25.48,-2.851650112,30.32
49.581B,-0.88,49581000000,25.48,-2.820512821,30.32
66.986B,0.9,66986000000,23.64,0.490516678,184.38
66.986B,0.9,66986000000,23.64,0.490516678,184.38
66.999B,0.93,66999000000,23.64,0.506867233,184.41
67.006B,0.96,67006000000,23.65,0.523246307,184.43
67.008B,0.96,67008000000,23.65,0.523217789,184.44
67.015B,0.98,67015000000,23.65,0.534118160,184.46
67.015B,0.98,67015000000,23.65,0.534118160,184.46
67.037B,1.04,67037000000,23.66,0.566819272,184.52
67.057B,1.1,67057000000,23.66,0.599553060,184.57
67.057B,1.1,67057000000,23.66,0.599553060,184.57
80.086B,-0.03,80086000000,19.59,-0.130718954,22.92
45.797B,0.01,45797000000,11.01,0.079051383,12.66
45.797B,0.01,45797000000,11.01,0.079051383,12.66
45.797B,0.01,45797000000,11.01,0.079051383,12.66
